,ar,bg,de,el,en,es,fr,hi,it,ja,nl,pl,pt,ru,sw,th,tr,ur,vi,zh
ar,499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bg,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
es,0,0,0,0,0,499,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fr,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
hi,0,0,0,0,0,0,0,484,0,0,2,0,1,0,12,0,1,0,0,0
it,0,0,0,0,1,0,0,0,498,0,0,0,1,0,0,0,0,0,0,0
ja,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
nl,0,0,0,0,0,0,0,0,0,0,499,0,0,0,1,0,0,0,0,0
pl,0,0,0,0,0,0,0,0,0,0,0,497,1,0,2,0,0,0,0,0
pt,0,0,0,0,0,1,0,0,0,0,0,0,499,0,0,0,0,0,0,0
ru,0,1,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0
sw,0,0,0,0,0,0,0,0,2,0,0,0,0,0,498,0,0,0,0,0
th,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499,0,0,0,0
tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
ur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,4,482,0,0
vi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
zh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
