model,split,n_samples,accuracy
model_1_full,train,63000,0.9998412698412699
model_1_full,val,7000,0.9962857142857143
model_1_full,test,10000,0.9958
model_2_char_only,train,63000,0.9998412698412699
model_2_char_only,val,7000,0.997
model_2_char_only,test,10000,0.9954
model_3_word_charwb,train,63000,0.9998253968253968
model_3_word_charwb,val,7000,0.9951428571428571
model_3_word_charwb,test,10000,0.9936
model_4_compact,train,63000,0.9995238095238095
model_4_compact,val,7000,0.9952857142857143
model_4_compact,test,10000,0.9918
